;1; 'Classical Works Collection'; 'John Smith';
;2; 'Modern Music Insights'; 'Emily Johnson';
;3; 'Baroque Music Series'; 'Michael Williams';
;4; 'The Composers of the 18th Century'; 'Mary Brown';
;5; 'Renaissance Revivals'; 'Patricia Jones';
;6; '20th Century Composers'; 'Robert Garcia';
;7; 'Romantic Era Masterpieces'; 'Linda Martinez';
;8; 'Exploring Musical Boundaries'; 'James Rodriguez';
;9; 'Symphony Series'; 'Barbara Wilson';
;10; 'Opera Classics'; 'Paul White';
;11; 'Chamber Music Collections'; 'Jennifer Lee';
;12; 'Avant-Garde Arrivals'; 'Michael Lewis';
;13; 'Piano Virtuosos'; 'Nancy Anderson';
;14; 'Violin Virtuosos'; 'Thomas Walker';
;15; 'Contemporary Compositions'; 'Sandra Hall';
;16; 'Choral Works Anthology'; 'Kevin Allen';
;17; 'Musical Theatre Essentials'; 'Susan Young';
;18; 'The Jazz Age'; 'Mark Hernandez';
;19; 'Blues and Roots'; 'Jessica King';
;20; 'Electronic and Computer Music'; 'Steven Wright';
;21; 'Film Score Fantasies'; 'Laura Lopez';
;22; 'Latin American Music Treasures'; 'Sharon Hill';
;23; 'Folk Music from Around the World'; 'Ryan Scott';
;24; 'Sacred Music Through the Ages'; 'Kimberly Green';
;25; 'Children’s Music Series'; 'Deborah Adams';
;26; 'Music Education Series'; 'Jessica Baker';
;27; 'Guitar Gods'; 'Raymond Gonzalez';
;28; 'Music in Video Games'; 'Lisa Nelson';
;29; 'Big Band and Swing Series'; 'Michelle Carter';
;30; 'Country and Western Stars'; 'Joseph Mitchell';
;31; 'Songwriters’ Specials'; 'Sarah Roberts';
;32; 'Celtic Music Collection'; 'Charles Davis';
;33; 'Music of Asia'; 'Karen Moore';
;34; 'African Rhythms'; 'Christopher Taylor';
;35; 'Middle Eastern Melodies'; 'Amanda Anderson';
;36; 'French Composers Guide'; 'Brian Thomas';
;37; 'Russian Composers Guide'; 'Helen Jackson';
;38; 'German Composers Guide'; 'Dorothy Harris';
;39; 'Italian Composers Guide'; 'Jason Martin';
;40; 'British Composers Guide'; 'Gary Thompson';
;41; 'American Composers Guide'; 'Teresa Martinez';
;42; 'Australian Music Almanac'; 'Jose Robinson';
;43; 'Scandinavian Soundscapes'; 'Angela Clark';
;44; 'Discovering the Dutch'; 'Melissa Rodriguez';
;45; 'Belgian Beats'; 'Anna Lewis';
;46; 'Greek Musical Journey'; 'Stephen Lee';
;47; 'Swiss Sounds'; 'Brian Walker';
;48; 'Austrian Music Archive'; 'Cynthia Allen';
;49; 'Canadian Composers Compilation'; 'Rebecca Young';
;50; 'New Zealand Music Anthology'; 'Kathleen Hernandez');
